Date,dia,hora,Suma de sms,Suma de whatsapp_activo,Suma de whatsapp_inactivo,Suma de email,Target,Suma de purchase_intention,Suma de funnel_purchase,Suma de funnel_viewItem,Suma de funnel_checkout,Suma de funnel_cart
1/21/2025 0:00,1-Martes,21,65,0,0,65,672.284424,214,14,110,7,38
1/21/2025 0:00,1-Martes,22,57,0,0,57,590.605008,188,18,83,3,40
1/21/2025 0:00,1-Martes,23,54,0,0,54,464.944368,148,8,57,5,32
1/20/2025 0:00,0-Lunes,00,67,0,0,67,292.160988,93,4,39,3,20
1/20/2025 0:00,0-Lunes,01,934,0,0,934,207.340056,66,1,29,1,14
1/20/2025 0:00,0-Lunes,02,88,0,0,88,69.113352,22,1,10,2,1
1/20/2025 0:00,0-Lunes,03,56,0,0,56,72.254868,23,1,4,1,9
1/20/2025 0:00,0-Lunes,04,87,0,0,87,94.24548,30,0,11,0,5
1/20/2025 0:00,0-Lunes,05,83,0,0,83,119.377608,38,2,16,0,10
1/20/2025 0:00,0-Lunes,06,86,0,0,86,160.217316,51,1,16,0,8
1/20/2025 0:00,0-Lunes,07,102,0,0,102,320.434632,102,3,35,3,25
1/20/2025 0:00,0-Lunes,08,559,0,0,559,348.708276,111,7,53,2,19
1/20/2025 0:00,0-Lunes,09,97,0,0,97,546.623784,174,11,66,4,40
1/20/2025 0:00,0-Lunes,10,396,0,0,396,505.784076,161,11,78,3,23
1/20/2025 0:00,0-Lunes,11,105,0,0,105,584.321976,186,18,73,5,26
1/20/2025 0:00,0-Lunes,12,124,0,0,124,725.690196,231,13,79,2,41
1/20/2025 0:00,0-Lunes,13,2341,0,0,2341,534.05772,170,5,73,3,37
1/20/2025 0:00,0-Lunes,14,1116,0,0,1116,455.51982,145,10,50,3,21
1/20/2025 0:00,0-Lunes,15,130,0,0,130,452.378304,144,11,54,2,29
1/20/2025 0:00,0-Lunes,16,192,0,0,192,628.3032,200,13,84,9,37
1/20/2025 0:00,0-Lunes,17,239,0,0,239,653.435328,208,12,88,6,45
1/20/2025 0:00,0-Lunes,18,125,0,0,125,832.50174,265,14,103,3,60
1/20/2025 0:00,0-Lunes,19,165,0,0,165,738.25626,235,14,116,3,27
1/20/2025 0:00,0-Lunes,20,246,0,0,246,819.935676,261,15,118,7,52
1/20/2025 0:00,0-Lunes,21,378,0,0,378,753.96384,240,18,92,11,50
1/20/2025 0:00,0-Lunes,22,2201,0,0,2201,574.897428,183,14,77,5,35
1/20/2025 0:00,0-Lunes,23,154,0,0,154,442.953756,141,6,61,4,28
1/19/2025 0:00,6-Domingo,00,17,0,0,17,336.142212,107,8,45,1,24
1/19/2025 0:00,6-Domingo,01,40,0,0,40,204.19854,65,4,32,1,13
1/19/2025 0:00,6-Domingo,02,21,0,0,21,103.670028,33,0,16,1,8
1/19/2025 0:00,6-Domingo,03,18,0,0,18,75.396384,24,1,11,1,3
1/19/2025 0:00,6-Domingo,04,16,0,0,16,43.981224,14,1,3,0,2
1/19/2025 0:00,6-Domingo,05,13,0,0,13,94.24548,30,0,9,1,6
1/19/2025 0:00,6-Domingo,06,16,0,0,16,141.36822,45,2,22,0,10
1/19/2025 0:00,6-Domingo,07,23,0,0,23,169.641864,54,3,25,2,11
1/19/2025 0:00,6-Domingo,08,14,0,0,14,317.293116,101,3,42,5,16
1/19/2025 0:00,6-Domingo,09,29,0,0,29,458.661336,146,5,70,5,32
1/19/2025 0:00,6-Domingo,10,31,0,0,31,537.199236,171,12,82,2,21
1/19/2025 0:00,6-Domingo,11,16,0,0,16,618.878652,197,13,85,4,30
1/19/2025 0:00,6-Domingo,12,38,0,0,38,672.284424,214,16,98,9,29
1/19/2025 0:00,6-Domingo,13,157,0,0,157,653.435328,208,19,96,7,31
1/19/2025 0:00,6-Domingo,14,68,0,0,68,669.142908,213,16,94,5,33
1/19/2025 0:00,6-Domingo,15,171,0,0,171,700.558068,223,15,107,7,45
1/19/2025 0:00,6-Domingo,16,42,0,0,42,785.379,250,22,110,6,40
1/19/2025 0:00,6-Domingo,17,131,0,0,131,832.50174,265,17,124,9,51
1/19/2025 0:00,6-Domingo,18,71,0,0,71,914.181156,291,13,135,7,41
1/19/2025 0:00,6-Domingo,19,141,0,0,141,879.62448,280,20,122,6,43
1/19/2025 0:00,6-Domingo,20,119,0,0,119,791.662032,252,18,107,6,34
1/19/2025 0:00,6-Domingo,21,95,0,0,95,832.50174,265,21,123,6,42
1/19/2025 0:00,6-Domingo,22,163,0,0,163,622.020168,198,9,84,3,40
1/19/2025 0:00,6-Domingo,23,127,0,0,127,486.93498,155,8,82,8,21
1/18/2025 0:00,5-Sábado,00,221,0,0,221,342.425244,109,6,52,2,22
1/18/2025 0:00,5-Sábado,01,252,0,0,252,210.481572,67,3,25,0,19
1/18/2025 0:00,5-Sábado,02,507,0,0,507,128.802156,41,4,17,1,7
1/18/2025 0:00,5-Sábado,03,431,0,0,431,84.820932,27,2,10,0,6
1/18/2025 0:00,5-Sábado,04,230,0,0,230,91.103964,29,3,9,1,3
1/18/2025 0:00,5-Sábado,05,317,0,0,317,144.509736,46,3,21,0,6
1/18/2025 0:00,5-Sábado,06,205,0,0,205,197.915508,63,1,32,4,11
1/18/2025 0:00,5-Sábado,07,251,0,0,251,282.73644,90,3,39,2,9
1/18/2025 0:00,5-Sábado,08,243,0,0,243,376.98192,120,6,55,4,17
1/18/2025 0:00,5-Sábado,09,1369,0,0,1369,662.859876,211,8,89,4,30
1/18/2025 0:00,5-Sábado,10,1280,0,0,1280,568.614396,181,9,78,3,24
1/18/2025 0:00,5-Sábado,11,188,0,0,188,524.633172,167,10,62,1,29
1/18/2025 0:00,5-Sábado,12,237,0,0,237,568.614396,181,11,62,7,31
1/18/2025 0:00,5-Sábado,13,184,0,0,184,455.51982,145,6,56,3,25
1/18/2025 0:00,5-Sábado,14,187,0,0,187,436.670724,139,5,68,0,23
1/18/2025 0:00,5-Sábado,15,144,0,0,144,480.651948,153,8,65,2,31
1/18/2025 0:00,5-Sábado,16,1431,0,0,1431,622.020168,198,13,91,4,24
1/18/2025 0:00,5-Sábado,17,84,0,0,84,713.124132,227,11,107,6,42
1/18/2025 0:00,5-Sábado,18,477,0,0,477,725.690196,231,14,102,3,30
1/18/2025 0:00,5-Sábado,19,59,0,0,59,769.67142,245,14,114,5,45
1/18/2025 0:00,5-Sábado,20,25,0,0,25,697.416552,222,7,84,6,44
1/18/2025 0:00,5-Sábado,21,27,0,0,27,600.029556,191,8,98,2,34
1/18/2025 0:00,5-Sábado,22,23,0,0,23,600.029556,191,20,84,6,25
1/18/2025 0:00,5-Sábado,23,127,0,0,127,490.076496,156,5,79,0,32
1/17/2025 0:00,4-Viernes,00,488,0,0,488,307.868568,98,1,40,1,24
1/17/2025 0:00,4-Viernes,01,104,0,0,104,175.924896,56,3,22,0,7
1/17/2025 0:00,4-Viernes,02,79,0,0,79,116.236092,37,3,13,2,6
1/17/2025 0:00,4-Viernes,03,114,0,0,114,72.254868,23,1,6,0,8
1/17/2025 0:00,4-Viernes,04,64,0,0,64,106.811544,34,0,11,0,7
1/17/2025 0:00,4-Viernes,05,70,0,0,70,248.179764,79,1,32,4,12
1/17/2025 0:00,4-Viernes,06,67,0,0,67,263.887344,84,1,31,0,13
1/17/2025 0:00,4-Viernes,07,71,0,0,71,367.557372,117,3,56,1,20
1/17/2025 0:00,4-Viernes,08,104,0,0,104,508.925592,162,9,59,0,18
1/17/2025 0:00,4-Viernes,09,88,0,0,88,452.378304,144,6,65,4,28
1/17/2025 0:00,4-Viernes,10,328,0,0,328,543.482268,173,7,69,4,26
1/17/2025 0:00,4-Viernes,11,118,0,0,118,1278.597012,407,20,274,9,40
1/17/2025 0:00,4-Viernes,12,177,0,0,177,823.077192,262,10,139,5,40
1/17/2025 0:00,4-Viernes,13,276,0,0,276,606.312588,193,7,88,3,28
1/17/2025 0:00,4-Viernes,14,158,0,0,158,562.331364,179,10,77,1,34
1/17/2025 0:00,4-Viernes,15,238,0,0,238,556.048332,177,8,75,1,27
1/17/2025 0:00,4-Viernes,16,1658,0,0,1658,775.954452,247,14,106,1,42
1/17/2025 0:00,4-Viernes,17,349,0,0,349,678.567456,216,12,95,8,36
1/17/2025 0:00,4-Viernes,18,579,0,0,579,914.181156,291,10,130,7,38
1/17/2025 0:00,4-Viernes,19,662,0,0,662,1011.568152,322,11,175,4,52
1/17/2025 0:00,4-Viernes,20,468,0,0,468,860.775384,274,14,139,7,44
1/17/2025 0:00,4-Viernes,21,532,0,0,532,716.265648,228,8,122,4,49
1/17/2025 0:00,4-Viernes,22,2242,0,0,2242,706.8411,225,11,111,8,37
1/17/2025 0:00,4-Viernes,23,281,0,0,281,537.199236,171,5,70,5,41
