sku_producto,nombre_producto,descripcion,descripcion,Monto,cantidad,Promedio de altura,Promedio de ancho,costo_entrega,is_active,Promedio de precio_amazon,Promedio de stock
5003637426,JBL Go 3 Impermeable Azul,Bocinas,Electrónicos,5741.45,10,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638021,Bocina Jbl Harman Charge 5 Bluetooth Portátil En Color Negro.,Bocinas,Electrónicos,430775.92,201,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638022,Bocina JBL Charge 5 Impermeable. Azul,Bocinas,Electrónicos,170777.66,79,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638023,Bocina Jbl Harman Charge 5 Bluetooth Portátil En Color Roja.,Bocinas,Electrónicos,118853.49,56,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638061,AUDIFONOS BLUETOOTH JBL TUNE 510 NEGRO,Audífonos y Micrófonos,Electrónicos,8800.15,14,24.04655172,16.03189655,17200.02,TRUE,0,20
5003638062,Audífonos Bluetooth. JBL Tune 510BT,Audífonos y Micrófonos,Electrónicos,15449.72,25,24.04655172,16.03189655,17200.02,TRUE,0,20
5003638440,Bocina Jbl Harman Flip 6 Portatil Impermeable Ip67 20W Negro.,Bocinas,Electrónicos,151175.7,87,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638442,Bocina Inalámbrica A Prueba De Agua Jbl Flip 6 Portatil Impermeable Ip67 20W Rojo.,Bocinas,Electrónicos,78412.22,45,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638443,Bocina JBL FLIP 6 GRIS,Bocinas,Electrónicos,29376.66,17,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638973,JBL PULSE 5 Altavoz portátil estéreo Negro 40 W,Bocinas,Electrónicos,3415.67,1,20.41518325,16.77853403,11971.2,TRUE,0,30
5003638998,Bocina Portátil JBL Flip Essential 2,Bocinas,Electrónicos,29455.5,17,20.41518325,16.77853403,11971.2,TRUE,0,30
5003639493,Audífonos Jbl Tune 520bt Over-ear Con Bluetooth Color Blanco,Audífonos y Micrófonos,Electrónicos,14862.07,23,24.04655172,16.03189655,17200.02,TRUE,0,20
5003639928,BOCINA JBL INALAMBRICA PORTATIL GO4 NEGRO,Bocinas,Electrónicos,1415.47,2,20.41518325,16.77853403,11971.2,TRUE,0,30
5003639929,Bocina JBL Go 4 Roja,Bocinas,Electrónicos,25107.62,32,20.41518325,16.77853403,11971.2,TRUE,0,30
5003640007,Bocina Portátil Jbl Clip 5 Bluetooth Negro,Bocinas,Electrónicos,18791.66,14,20.41518325,16.77853403,11971.2,TRUE,0,30
5003640008,Bocina Portátil Bluetooth JBL Clip 5,Bocinas,Electrónicos,13133.43,9,20.41518325,16.77853403,11971.2,TRUE,0,30
5074360436,Escaladora Y Resbaladilla,Juguetes didácticos,Juguetes,2364.47,1,56.33333333,41.33333333,759.92,FALSE,0,0
5389112779,Horno Eléctrico Oster 10 l con Freidora de Aire,Hornos Eléctricos,Enseres Menores,2554.27,1,34,36.75,165.65,TRUE,0,30
5389113838,Licuadora Vaso De Plástico 1.25 L. Blanca,Licuadoras,Enseres Menores,21307.97,25,21.49820896,14.46402985,933.72,TRUE,2417.115702,112
538911424,Freidora de aire Oster 5.5 Litros,Freidoras de aire,Enseres Menores,9449.85,5,25.66666667,22.83333333,352.05,TRUE,0,46
5389114415,Plancha de vapor Oster Tecnología Aerocerámica Apagado Automático 1600W Negra,Planchas de vapor,Enseres Menores,13275.78,14,17.28947368,14.21052632,689.78,TRUE,0,73
5389115085,Licuadora Oster 2 Velocidades Con Pulso Y Vaso De Plástico Azul Claro.,Licuadoras,Enseres Menores,17155,20,21.49820896,14.46402985,933.72,TRUE,2417.115702,112
5389115087,Licuadora 2 Velocidades Con Pulso Y Vaso De Plástico Lila,Licuadoras,Enseres Menores,12350.14,14,21.49820896,14.46402985,933.72,TRUE,2417.115702,112
5389115089,Licuadora Vaso De Vidrio 1.5 L. Roja,Licuadoras,Enseres Menores,65351.06,70,21.49820896,14.46402985,933.72,TRUE,2417.115702,112
5389116874,Freidora De Aire Oster Digital Con Capacidad De 4 Litros.,Freidoras de aire,Enseres Menores,7297.08,4,38.075,33.5,736.09,FALSE,0,0
5825822688,OCULUS QUEST 2 ALL IN ONE FOR VR FROM FACEBOOK,VR,Electrónicos,21797.8,4,14.64285714,32.03571429,376.2,TRUE,0,6
7410829453,Tenaza Rizadora De Doble Cerámica Conair Dorada,Cabello,Belleza,1027.11,3,12.6,10.5,366.08,FALSE,0,0
7410834998,Masajeador Conair De Percusión Muscular Profunda,Cuerpo,Belleza,2968.18,4,47,23,0,FALSE,0,0
7410837589,Spa De Pies Conair Con Tiras De Gel,Cuerpo,Belleza,751.17,1,40.33333333,18.5,294.59,TRUE,0,11
7410838768,Spa Para Pies Conair Turquesa,Cuerpo,Belleza,824.17,1,40.33333333,18.5,294.59,TRUE,0,11
7410840697,Plancha Negra Para Cabello Babyliss Pro® Porcelain Ceramic,Cabello,Belleza,2334.54,2,12.6,10.5,366.08,FALSE,0,0
